data_loss,epoch,mean_loss,step
13165.5556640625,0,13165.5556640625,42
12985.27734375,1,12985.27734375,85
12862.1630859375,2,12862.1630859375,128
12747.509765625,3,12747.509765625,171
12635.580078125,4,12635.580078125,214
12519.76171875,5,12519.76171875,257
12411.0498046875,6,12411.0498046875,300
12298.845703125,7,12298.845703125,343
12190.220703125,8,12190.220703125,386
12084.826171875,9,12084.826171875,429
11981.943359375,10,11981.943359375,472
11880.7294921875,11,11880.7294921875,515
11781.3515625,12,11781.3515625,558
11683.8564453125,13,11683.8564453125,601
11589.328125,14,11589.328125,644
11498.2197265625,15,11498.2197265625,687
11402.0380859375,16,11402.0380859375,730
11315.11328125,17,11315.11328125,773
11246.30078125,18,11246.30078125,816
11142.845703125,19,11142.845703125,859
11076.3125,20,11076.3125,902
10960.8955078125,21,10960.8955078125,945
10874.408203125,22,10874.408203125,988
10797.5146484375,23,10797.5146484375,1031
10714.2255859375,24,10714.2255859375,1074
10640.3818359375,25,10640.3818359375,1117
10543.3720703125,26,10543.3720703125,1160
10461.234375,27,10461.234375,1203
10385.90625,28,10385.90625,1246
10302.9111328125,29,10302.9111328125,1289
10228.1796875,30,10228.1796875,1332
10185.28515625,31,10185.28515625,1375
10106.177734375,32,10106.177734375,1418
10002.7373046875,33,10002.7373046875,1461
9931.703125,34,9931.703125,1504
9851.5595703125,35,9851.5595703125,1547
9777.716796875,36,9777.716796875,1590
9718.66015625,37,9718.66015625,1633
9684.3427734375,38,9684.3427734375,1676
9609.478515625,39,9609.478515625,1719
9583.046875,40,9583.046875,1762
9450.13671875,41,9450.13671875,1805
9409.19140625,42,9409.19140625,1848
9351.4423828125,43,9351.4423828125,1891
9240.08984375,44,9240.08984375,1934
9168.6533203125,45,9168.6533203125,1977
9102.7763671875,46,9102.7763671875,2020
9038.958984375,47,9038.958984375,2063
8977.71484375,48,8977.71484375,2106
8934.3876953125,49,8934.3876953125,2149
8879.25,50,8879.25,2192
8908.271484375,51,8908.271484375,2235
8738.087890625,52,8738.087890625,2278
8736.83203125,53,8736.83203125,2321
8620.9443359375,54,8620.9443359375,2364
8609.0859375,55,8609.0859375,2407
8496.107421875,56,8496.107421875,2450
8422.69140625,57,8422.69140625,2493
8370.78515625,58,8370.78515625,2536
8360.060546875,59,8360.060546875,2579
8302.0498046875,60,8302.0498046875,2622
8195.7255859375,61,8195.7255859375,2665
8138.306640625,62,8138.306640625,2708
8118.283203125,63,8118.283203125,2751
8674.8388671875,64,8674.8388671875,2794
8035.6787109375,65,8035.6787109375,2837
8119.62841796875,66,8119.62841796875,2880
7906.90478515625,67,7906.90478515625,2923
7858.98046875,68,7858.98046875,2966
7979.205078125,69,7979.205078125,3009
7922.41796875,70,7922.41796875,3052
7915.58154296875,71,7915.58154296875,3095
8383.2529296875,72,8383.2529296875,3138
7901.85302734375,73,7901.85302734375,3181
7944.81689453125,74,7944.81689453125,3224
8030.1171875,75,8030.1171875,3267
8507.3466796875,76,8507.3466796875,3310
7472.01025390625,77,7472.01025390625,3353
7384.80224609375,78,7384.80224609375,3396
7374.80810546875,79,7374.80810546875,3439
7303.82421875,80,7303.82421875,3482
7265.68017578125,81,7265.68017578125,3525
7610.0830078125,82,7610.0830078125,3568
7167.1728515625,83,7167.1728515625,3611
7132.8701171875,84,7132.8701171875,3654
7232.56201171875,85,7232.56201171875,3697
7180.39697265625,86,7180.39697265625,3740
7447.8603515625,87,7447.8603515625,3783
7159.48486328125,88,7159.48486328125,3826
6921.2666015625,89,6921.2666015625,3869
6843.4892578125,90,6843.4892578125,3912
6900.09375,91,6900.09375,3955
7430.6845703125,92,7430.6845703125,3998
7169.51171875,93,7169.51171875,4041
7016.9228515625,94,7016.9228515625,4084
7243.7021484375,95,7243.7021484375,4127
6634.57275390625,96,6634.57275390625,4170
7053.14990234375,97,7053.14990234375,4213
6536.0166015625,98,6536.0166015625,4256
6784.1025390625,99,6784.1025390625,4299
